JN202303200003_DeltaP,,JN202303200004_DeltaP,,JN202303200006_DeltaP,,JN202303200007_DeltaP,,JN202303200008_DeltaP,,JN202303200010_DeltaP,,JN202303200011_DeltaP,
1.28e-07,0.00024028716,1.28e-07,0.0001682975,1.28e-07,0.0004959713,1.28e-07,0.00093042594,1.28e-07,0.0018223866,1.28e-07,0.0054957336,1.28e-07,0.0082951132
1.3e-07,0.00023366827,1.3e-07,0.00015759371,1.3e-07,0.00048935355,1.3e-07,0.00089633575,1.3e-07,0.0017638573,1.3e-07,0.005445322,1.3e-07,0.0082469136
1.32e-07,0.00023378582,1.32e-07,0.00014632409,1.32e-07,0.00052421301,1.32e-07,0.00090721156,1.32e-07,0.0017037629,1.32e-07,0.0053513316,1.32e-07,0.0081807878
1.34e-07,0.00023529922,1.34e-07,0.00014324584,1.34e-07,0.00050773815,1.34e-07,0.00092245993,1.34e-07,0.0016986053,1.34e-07,0.0053795506,1.34e-07,0.0081336899
1.36e-07,0.000236974,1.36e-07,0.00014649307,1.36e-07,0.00051748485,1.36e-07,0.00088714273,1.36e-07,0.0017638573,1.36e-07,0.0053076069,1.36e-07,0.0081011411
1.38e-07,0.0002403973,1.38e-07,0.00014812397,1.38e-07,0.00050997827,1.38e-07,0.00086549373,1.38e-07,0.0017826961,1.38e-07,0.0052743903,1.38e-07,0.0080187768
1.4e-07,0.00024650924,1.4e-07,0.0001718313,1.4e-07,0.00051973254,1.4e-07,0.00086987356,1.4e-07,0.0017297729,1.4e-07,0.0052275057,1.4e-07,0.0079346476
1.42e-07,0.00026303792,1.42e-07,0.00016336808,1.42e-07,0.00052286894,1.42e-07,0.00083185942,1.42e-07,0.0016672099,1.42e-07,0.0051752562,1.42e-07,0.0078371484
1.44e-07,0.00024634026,1.44e-07,0.00015181933,1.44e-07,0.00051356276,1.44e-07,0.000814142,1.44e-07,0.0016755123,1.44e-07,0.0051378515,1.44e-07,0.0078158407
1.46e-07,0.00023776005,1.46e-07,0.00015944503,1.46e-07,0.00051581039,1.46e-07,0.00087469438,1.46e-07,0.0016768571,1.46e-07,0.0050714184,1.46e-07,0.0077491258
1.48e-07,0.00024252775,1.48e-07,0.00015192947,1.48e-07,0.00049854961,1.48e-07,0.0009064253,1.48e-07,0.0016515158,1.48e-07,0.0050492254,1.48e-07,0.0076885829
1.5e-07,0.00022728463,1.5e-07,0.00015277427,1.5e-07,0.00049159396,1.5e-07,0.00087805995,1.5e-07,0.001647482,1.5e-07,0.0050519449,1.5e-07,0.0076386938
1.52e-07,0.00024936692,1.52e-07,0.00016488142,1.52e-07,0.00051334256,1.52e-07,0.00081402424,1.52e-07,0.0016896339,1.52e-07,0.0050730356,1.52e-07,0.007552362
1.54e-07,0.00024045614,1.54e-07,0.00016336808,1.54e-07,0.00048565897,1.54e-07,0.0008023621,1.54e-07,0.0016178794,1.54e-07,0.0049960939,1.54e-07,0.007482267
